id,country,points,price,province,region_1,taster_name,title,variety,winery
61,Italy,86,17.0,Central Italy,Romagna,Kerin O’Keefe,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli
62,US,86,25.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram
63,France,86,58.0,Champagne,Champagne,Roger Voss,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,Roland Champion
64,US,86,26.0,California,Santa Ynez Valley,Matt Kettmann,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Sevtap
65,France,86,24.0,Burgundy,Chablis,Roger Voss,Simonnet-Febvre 2015  Chablis,Chardonnay,Simonnet-Febvre
66,France,86,15.0,Burgundy,Mâcon-Milly Lamartine,Roger Voss,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,Vignerons des Terres Secrètes
67,US,86,46.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars
68,US,86,12.0,California,California,Jim Gordon,Cocobon 2014 Red (California),Red Blend,Cocobon
69,France,86,55.0,Champagne,Champagne,Roger Voss,Collet NV Brut Rosé  (Champagne),Champagne Blend,Collet
70,US,86,12.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller
71,US,86,40.0,California,Alexander Valley,Virginie Boone,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno
72,Italy,86,32.0,Southern Italy,Aglianico del Vulture,Kerin O’Keefe,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,Grifalco
73,US,86,75.0,California,Howell Mountain,Virginie Boone,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight
74,US,86,55.0,California,Calistoga,Virginie Boone,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight
75,US,86,75.0,California,Napa Valley,Virginie Boone,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,Mulvane Wine Co.
76,Germany,86,9.0,Rheinhessen,,Anna Lee C. Iijima,Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,Schmitt Söhne
77,Australia,86,18.0,South Australia,South Australia,Joe Czerwinski,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba
78,US,86,25.0,Oregon,Eola-Amity Hills,Paul Gregutt,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO
79,Portugal,86,,Tejo,,Roger Voss,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),Touriga Nacional,Adega Cooperativa do Cartaxo
80,Chile,86,12.0,Rapel Valley,,Michael Schachner,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Carmenère,Aresti
81,Spain,86,16.0,Galicia,Rías Baixas,Michael Schachner,Spyro 2014 Albariño (Rías Baixas),Albariño,Spyro
82,France,86,11.0,France Other,Vin de France,Roger Voss,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),Petit Manseng,Lionel Osmin & Cie
83,Australia,86,20.0,South Australia,McLaren Vale,Joe Czerwinski,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Rosé,Mitolo
84,US,86,24.0,California,Napa Valley,Virginie Boone,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,Napa Cellars
85,Germany,86,10.0,Rheinhessen,,Anna Lee C. Iijima,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,P.J. Valckenberg
86,US,86,20.0,Washington,Ancient Lakes,Sean P. Sullivan,Palencia 2016 Albariño (Ancient Lakes),Albariño,Palencia
87,US,86,55.0,California,Knights Valley,Virginie Boone,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,Passaggio
88,Italy,86,29.0,Tuscany,Vernaccia di San Gimignano,Kerin O’Keefe,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro
89,Italy,88,19.0,Tuscany,Toscana,Kerin O’Keefe,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi
90,US,88,23.0,California,Sonoma County,Virginie Boone,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano
91,US,88,18.0,California,Sonoma Coast,Virginie Boone,Folie à Deux 2015 Pinot Gris (Sonoma Coast),Pinot Gris,Folie à Deux
92,US,88,55.0,California,Napa Valley,Virginie Boone,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan
93,Austria,88,12.0,Burgenland,,Anne Krebiehl MW,Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,Fuchs
94,US,88,22.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård
95,France,88,20.0,Beaujolais,Juliénas,Roger Voss,Henry Fessy 2015  Juliénas,Gamay,Henry Fessy
96,France,88,18.0,Beaujolais,Régnié,Roger Voss,Henry Fessy 2015  Régnié,Gamay,Henry Fessy
97,US,88,20.0,New York,Finger Lakes,Anna Lee C. Iijima,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill
98,Italy,88,30.0,Tuscany,Morellino di Scansano,Kerin O’Keefe,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi
99,US,88,75.0,California,Napa Valley,Virginie Boone,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards
